SOURCE_ID,SHA256,SHARD,MEMBER,FILE_SIZE_BYTES
,028642f803524ece1501c7302a293af7fac08730c075d0237ef053d57e1787bf,negotiation-corpus-0001.zip,pdf/02/028642f803524ece1501c7302a293af7fac08730c075d0237ef053d57e1787bf.pdf,3411493
,02891f8b3cfb0c40515210f7d0aca63f183f09ddad2c1fbc120751a4d73c0a92,negotiation-corpus-0001.zip,pdf/02/02891f8b3cfb0c40515210f7d0aca63f183f09ddad2c1fbc120751a4d73c0a92.pdf,306844
,029836d11a155a241622c573ca1191cd1b0dd6288a4c92ae7f7f13d81bdea318,negotiation-corpus-0001.zip,pdf/02/029836d11a155a241622c573ca1191cd1b0dd6288a4c92ae7f7f13d81bdea318.pdf,1115581
,02a1dd4dd5ad4e3151c252c5e9df50a8ad4c9e4ae2b76b62df33f4984d3bab8e,negotiation-corpus-0001.zip,pdf/02/02a1dd4dd5ad4e3151c252c5e9df50a8ad4c9e4ae2b76b62df33f4984d3bab8e.pdf,76834
,02a4b18ef93839c64bfa7c22cf6822e963ebb35ac67f906702eddc9f22c269f1,negotiation-corpus-0001.zip,pdf/02/02a4b18ef93839c64bfa7c22cf6822e963ebb35ac67f906702eddc9f22c269f1.pdf,1791578
,02c7a1b95716b9e6f7177af518b8d201106090618ebf7c0179ce92bb0ff23c91,negotiation-corpus-0001.zip,pdf/02/02c7a1b95716b9e6f7177af518b8d201106090618ebf7c0179ce92bb0ff23c91.pdf,4263770
,02dd5e772a0eee9d920a80bd0085b2095b46495ff8cb526f52419d9170d9eb46,negotiation-corpus-0001.zip,pdf/02/02dd5e772a0eee9d920a80bd0085b2095b46495ff8cb526f52419d9170d9eb46.pdf,201083
,02dd945b28e5beee0c395e79bfee0764e88a76351454ad6dabfa2af9b88248ec,negotiation-corpus-0001.zip,pdf/02/02dd945b28e5beee0c395e79bfee0764e88a76351454ad6dabfa2af9b88248ec.pdf,2346813
,02df7d1a4e57c2138ffbdb7a9e7e247c94d8b82024a9a2582b9aa65d170bf72b,negotiation-corpus-0001.zip,pdf/02/02df7d1a4e57c2138ffbdb7a9e7e247c94d8b82024a9a2582b9aa65d170bf72b.pdf,2285199
,02e21c9eb127d0cdbbc9b83d64295c9b7fecb79c9d6a14885ea0319662a781f3,negotiation-corpus-0001.zip,pdf/02/02e21c9eb127d0cdbbc9b83d64295c9b7fecb79c9d6a14885ea0319662a781f3.pdf,177617
,02e52e9b183ddd5ead9820670415427c566c3f83116db419e5cf41f1e3e71da8,negotiation-corpus-0001.zip,pdf/02/02e52e9b183ddd5ead9820670415427c566c3f83116db419e5cf41f1e3e71da8.pdf,10849709
,02e541531f8e9d5ac4bc7ce5e00421c8277560e956cc63156ccbda6c20301802,negotiation-corpus-0001.zip,pdf/02/02e541531f8e9d5ac4bc7ce5e00421c8277560e956cc63156ccbda6c20301802.pdf,1099043
,02f8cf7c518977cbb4dc8cc28dd0d27cde400d34a1dfd862d855adca5d60302d,negotiation-corpus-0001.zip,pdf/02/02f8cf7c518977cbb4dc8cc28dd0d27cde400d34a1dfd862d855adca5d60302d.pdf,341465
,030022dfb8f0f075399b78ebf003846d68d25d6a2ebdf82d30b289ff4b006744,negotiation-corpus-0001.zip,pdf/03/030022dfb8f0f075399b78ebf003846d68d25d6a2ebdf82d30b289ff4b006744.pdf,65346
,0309daf0ee7328dcce8b727126899c04edf9814237b843a2f6755c8f09ce924a,negotiation-corpus-0001.zip,pdf/03/0309daf0ee7328dcce8b727126899c04edf9814237b843a2f6755c8f09ce924a.pdf,362167
,03192fb07f6f8bda812373aa65691652d730de4eeb694c9637a8c7a095b99bc9,negotiation-corpus-0001.zip,pdf/03/03192fb07f6f8bda812373aa65691652d730de4eeb694c9637a8c7a095b99bc9.pdf,104819
,031ababe8190368ff79c4da68154ffdc5f3adac9d0d30ccb9cb39919d5b03294,negotiation-corpus-0001.zip,pdf/03/031ababe8190368ff79c4da68154ffdc5f3adac9d0d30ccb9cb39919d5b03294.pdf,7786
,031e9ef00e24a95c46ad457473b213c83d1354535769aa853769a13309ad865d,negotiation-corpus-0001.zip,pdf/03/031e9ef00e24a95c46ad457473b213c83d1354535769aa853769a13309ad865d.pdf,1628910
,0324a48009605dc574b93bb42e74ac08d6b2af1fa1fb5daf2181c47662b1d073,negotiation-corpus-0001.zip,pdf/03/0324a48009605dc574b93bb42e74ac08d6b2af1fa1fb5daf2181c47662b1d073.pdf,113641
,032d87093c0b9cdc8afcdfb88a46a4c89265f60cb349d810dd5897fc49a2c2e3,negotiation-corpus-0001.zip,pdf/03/032d87093c0b9cdc8afcdfb88a46a4c89265f60cb349d810dd5897fc49a2c2e3.pdf,613860
